,X,Y,Diff,Target
32136,0.8864645,0.9094517,0.19001445,0.0
13373,0.8925237,0.91455793,0.24627398,0.0
41505,0.8846039,0.9078705,0.38346642,0.0
41136,0.8825827,0.90615565,0.26055527,0.0
44881,0.8810289,0.90478295,0.29482198,0.0
7609,0.89663494,0.91794086,0.3997386,0.0
32359,0.88871455,0.9113202,0.28144908,0.0
1443,0.8954821,0.9169682,0.31747526,1.0
30374,0.88585544,0.90891075,0.2006002,0.0
22570,0.8895985,0.9120839,0.1500134,0.0
14027,0.8931043,0.914873,0.42717046,0.0
28222,0.8896433,0.9120901,0.2785327,0.0
5147,0.8946339,0.9163299,0.25779465,0.0
24724,0.888111,0.9107664,0.27921164,0.0
49275,0.880517,0.9044182,0.3322376,0.0
33426,0.8864053,0.90939295,0.24943216,0.0
40612,0.88228345,0.90591353,0.27029407,0.0
16962,0.89071995,0.9130434,0.2336425,0.0
6456,0.89384556,0.91564393,0.28018394,0.0
1695,0.8986544,0.91968924,0.43909323,0.0
155,0.8962383,0.91768426,0.3321017,1.0
39056,0.8832747,0.90673596,0.22534113,0.0
15165,0.8911628,0.9134061,0.21585935,0.0
49533,0.87945116,0.90350485,0.30276248,0.0
36861,0.88354576,0.90698785,0.25964713,0.0
4040,0.8993149,0.9202504,0.5476109,0.0
19823,0.8901211,0.9125396,0.1826729,0.0
24961,0.8888657,0.9114702,0.11442366,0.0
7227,0.89358455,0.91543293,0.27455205,0.0
36658,0.8848442,0.9080672,0.19315146,0.0
43855,0.8816623,0.90529233,0.24910103,0.0
25396,0.88849527,0.9111155,0.15381967,0.0
41515,0.8838029,0.9071747,0.3273399,0.0
20025,0.89003116,0.9124365,0.25241905,0.0
12363,0.89080083,0.912996,0.44134575,0.0
6763,0.8940349,0.9158187,0.2795718,0.0
11544,0.8924312,0.91448784,0.27487832,0.0
41285,0.8829611,0.90646964,0.22898084,0.0
11444,0.89219886,0.9142949,0.2770521,0.0
18001,0.8902658,0.9125969,0.28815183,0.0
15915,0.8910476,0.9132615,0.24063465,0.0
25575,0.8912033,0.9133054,0.47107995,0.0
42713,0.88197637,0.90560114,0.26865196,0.0
36126,0.88382804,0.90720755,0.23089722,0.0
21131,0.8906545,0.91298413,0.2405626,0.0
21502,0.88902736,0.911601,0.16585073,0.0
14386,0.891289,0.91350126,0.22032997,0.0
44333,0.8816376,0.90536237,0.2781061,0.0
35289,0.88503885,0.90821934,0.22898427,0.0
11154,0.8939945,0.9157941,0.23290554,0.0
21639,0.8890723,0.9116103,0.15415101,0.0
31632,0.88571036,0.9087897,0.19502957,0.0
48492,0.88032657,0.90425223,0.26588798,0.0
43018,0.8813897,0.9051619,0.29888144,0.0
33955,0.88486415,0.90810126,0.23736463,0.0
35722,0.88423,0.9075571,0.22986798,0.0
26090,0.8887538,0.91128904,0.21801326,0.0
41736,0.881845,0.9055332,0.27068767,0.0
34409,0.886052,0.9090975,0.21267249,0.0
47493,0.8811969,0.90494925,0.4338468,0.0
45052,0.8830772,0.90655947,0.25499818,0.0
25503,0.9011999,0.92169774,0.417217,0.0
33700,0.8848143,0.90805113,0.21146686,0.0
27592,0.8872164,0.9100902,0.17578918,0.0
13217,0.89187956,0.9139989,0.23710299,0.0
26313,0.8884969,0.91108567,0.53305185,0.0
41246,0.88270193,0.90621346,0.20525351,0.0
6838,0.89401746,0.9158141,0.26608852,0.0
7740,0.8935868,0.9154547,0.27533707,0.0
24887,0.88830906,0.9110085,0.14405113,0.0
8068,0.89412266,0.91587156,0.2799902,0.0
43674,0.8811652,0.90493107,0.27716196,0.0
14126,0.8912925,0.91333824,0.3519964,0.0
29218,0.8861883,0.90911895,0.21383898,0.0
47167,0.8806613,0.9044905,0.33987823,0.0
16265,0.89134216,0.9135718,0.23055474,0.0
27940,0.8895361,0.9120238,0.32701942,0.0
38644,0.88631237,0.9092857,0.32651088,0.0
40958,0.88467634,0.9079094,0.46026048,0.0
2677,0.89641255,0.9176679,0.4203521,0.0
45763,0.88124776,0.9049561,0.49678624,0.0
10874,0.8929374,0.9149273,0.26373884,0.0
37776,0.88528216,0.9083998,0.28507733,0.0
47626,0.88001937,0.90399253,0.27161556,0.0
20999,0.8891856,0.9117401,0.19881701,0.0
4131,0.8952781,0.91682595,0.28048706,0.0
36881,0.88353795,0.90698224,0.26128116,0.0
2648,0.8965857,0.9177973,0.5168902,0.0
33329,0.88485986,0.90809405,0.227448,0.0
20117,0.8897983,0.9122614,0.17860894,0.0
42650,0.8842617,0.9076307,0.46186653,0.0
46345,0.88230765,0.905914,0.33488736,0.0
21956,0.88927954,0.9117847,0.14267924,0.0
27551,0.88812244,0.91084623,0.1805322,0.0
20034,0.8901604,0.912536,0.20784323,0.0
32681,0.88564545,0.90868,0.17138709,0.0
36028,0.8840706,0.9074161,0.2115327,0.0
26695,0.8902592,0.9127129,0.46855476,0.0
48600,0.8801343,0.9040673,0.26074567,0.0
47065,0.8813773,0.90506446,0.54587364,0.0
32369,0.88881814,0.9114064,0.28447425,0.0
49328,0.8806108,0.9044991,0.32491395,0.0
33722,0.88482183,0.9080554,0.210654,0.0
29178,0.88710994,0.9099794,0.16080801,0.0
43557,0.8830947,0.9065025,0.3624376,0.0
36350,0.88435066,0.9076437,0.20963,0.0
30848,0.88560253,0.9087221,0.22150375,0.0
41915,0.88211215,0.90574986,0.24885574,0.0
44799,0.8814627,0.90516573,0.4110728,0.0
20699,0.89087397,0.91316074,0.2115889,0.0
42033,0.8821636,0.9057662,0.24971527,0.0
26352,0.8882847,0.91091025,0.49806765,0.0
32704,0.8853952,0.90846205,0.20082417,0.0
28228,0.88849086,0.9111025,0.23925209,0.0
24433,0.8879621,0.9107194,0.19386059,0.0
20792,0.8895303,0.9120345,0.17935787,0.0
30221,0.8869597,0.9098601,0.21255204,0.0
15078,0.891079,0.9132575,0.26939565,0.0
40576,0.88225734,0.9058966,0.28252542,0.0
16586,0.8905924,0.91293,0.21921933,0.0
44508,0.881469,0.9052055,0.26498213,0.0
49547,0.8792454,0.90333635,0.32062522,0.0
14403,0.89116144,0.91335076,0.24300118,0.0
45854,0.88128704,0.9050388,0.2299735,0.0
31885,0.88555956,0.9086775,0.17924994,0.0
37389,0.88399345,0.9072983,0.31892434,0.0
40888,0.8842707,0.9075683,0.26414427,0.0
15209,0.8911609,0.9133998,0.21030496,0.0
2517,0.8984915,0.91955656,0.49564603,0.0
19742,0.8918041,0.9138698,0.3548118,0.0
32158,0.8864468,0.90943927,0.18404476,0.0
37396,0.8839249,0.9072185,0.28867817,0.0
14668,0.8918544,0.9139055,0.34361658,0.0
5274,0.8944828,0.9162041,0.26113486,0.0
30830,0.8858588,0.90892214,0.19285206,0.0
31379,0.8866887,0.9095759,0.27026758,0.0
22737,0.8889381,0.91153336,0.19094503,0.0
42024,0.88192195,0.90559864,0.26572466,0.0
11474,0.89335823,0.9152602,0.3301691,0.0
37186,0.88383764,0.90720284,0.22246327,0.0
26942,0.88885397,0.91144913,0.4267396,0.0
26954,0.888884,0.9114755,0.42180184,0.0
3452,0.8971284,0.91838694,0.5314748,0.0
46937,0.8808761,0.90466493,0.28406778,0.0
19979,0.8897827,0.91224664,0.16190815,0.0
41001,0.8848949,0.9080872,0.47475684,0.0
12564,0.8922711,0.91433084,0.23373728,0.0
