,X,Y,Diff,Target
1277,0.39864975,0.7672319,0.3419527,0
1432,0.40213412,0.7595922,0.37602386,0
1347,0.38835946,0.7843401,0.40600768,0
1012,0.37784263,0.79898983,0.60094285,0
834,0.39669833,0.77118343,0.46550363,0
276,0.38324806,0.7981571,0.53611904,0
1495,0.39517644,0.7751778,0.39041567,0
1794,0.41820744,0.7321732,0.6524269,0
722,0.41646102,0.73508054,0.5923721,0
583,0.3849437,0.7976775,0.47199807,0
292,0.40897247,0.75535476,0.5099971,0
1630,0.3878674,0.7900617,0.46397215,0
1116,0.39549693,0.7680282,0.57152057,0
1387,0.41059867,0.7527658,0.44312766,0
1287,0.39678016,0.7832245,0.495696,0
121,0.39808008,0.76903826,0.4459403,0
1537,0.385403,0.79320824,0.46247068,0
1667,0.39329663,0.7855414,0.46120274,0
231,0.39314216,0.78082603,0.59112865,1
545,0.38882223,0.7973266,0.529732,0
1559,0.39898828,0.76661456,0.54339325,0
800,0.39557692,0.7688147,0.57614315,1
1295,0.40614468,0.75780624,0.3273782,0
234,0.40164918,0.76692575,0.45243418,0
1699,0.39560583,0.76839435,0.5206665,0
1542,0.3851211,0.79323107,0.43531987,0
19,0.40120786,0.76754063,0.36182645,0
1268,0.3945108,0.7783586,0.33432,0
512,0.4221913,0.728092,0.6746122,0
1430,0.4036268,0.7555004,0.5703135,0
692,0.4108321,0.7497219,0.35922626,0
1024,0.39600947,0.7735656,0.2990884,0
1551,0.4015856,0.7688231,0.33965975,0
1543,0.413082,0.73874044,0.48436716,0
1006,0.3997113,0.7627605,0.27373257,0
1030,0.39782703,0.778469,0.4248044,0
899,0.37344864,0.80798286,0.5643342,0
576,0.4034848,0.7644283,0.36814874,0
1331,0.41402563,0.739368,0.56420493,0
1401,0.4194128,0.7313288,0.6309416,0
1540,0.41334954,0.7431641,0.52995235,0
1668,0.38893357,0.78921354,0.3766908,0
1768,0.40088406,0.76174635,0.3599652,0
1672,0.3988019,0.7629807,0.47298408,0
463,0.4151635,0.74100566,0.44010517,0
1829,0.39070517,0.7720835,0.46476945,0
560,0.3896002,0.7878987,0.37672302,0
1191,0.40956223,0.7552204,0.4888749,0
1608,0.4129753,0.7424334,0.5108877,0
28,0.39351976,0.7681141,0.8072411,0
150,0.38862196,0.78825486,0.3723073,0
1007,0.3963001,0.7647232,0.63468176,1
1099,0.4040528,0.76063263,0.360405,0
1008,0.39546186,0.7758803,0.35460627,0
1594,0.40327248,0.74400777,0.9646745,1
67,0.40106124,0.7649,0.5226061,0
1818,0.41568983,0.7380582,0.6460635,1
597,0.40313807,0.75932103,0.36812937,0
803,0.39129278,0.7778754,0.45179835,0
1175,0.3965438,0.76659596,0.41506866,0
249,0.39238465,0.77820694,0.42755225,0
1808,0.39432204,0.78245693,0.46230057,0
444,0.40211937,0.75707406,0.6729313,1
1737,0.4078971,0.7589264,0.42827708,0
563,0.40717146,0.7569992,0.42122144,0
437,0.40267795,0.7611036,0.46396428,0
725,0.38449112,0.78703356,0.4631487,0
957,0.39300454,0.7708036,0.63734674,1
1583,0.40139562,0.75529903,0.58354926,0
805,0.40936375,0.7437562,0.41937712,0
43,0.3926394,0.77890927,0.42400643,0
1650,0.39151675,0.7898767,0.43500975,0
318,0.40478113,0.7637265,0.50079775,0
1286,0.38240224,0.802041,0.48682696,0
521,0.40554315,0.7624757,0.47111788,0
541,0.40245456,0.760882,0.4575304,0
409,0.39549425,0.7825869,0.40516594,0
1084,0.41139597,0.74584585,0.4339391,0
727,0.3841002,0.7968084,0.4287492,0
1750,0.3850286,0.7967068,0.4572263,0
1413,0.40619582,0.7500065,0.5925723,0
1198,0.38993603,0.7941869,0.49358168,0
1799,0.41923848,0.7291687,0.48913637,0
664,0.39649662,0.7747247,0.37960938,0
516,0.38615873,0.7885159,0.60247576,0
1071,0.4006934,0.7641836,0.4155504,0
1339,0.38991073,0.77371776,0.7750686,1
291,0.40303886,0.7670349,0.4113721,0
