,X,Y,Diff,Target
58,0.85170805,0.8442702,0.37983286,0
1062,0.8614824,0.8540128,0.25445163,0
367,0.8692296,0.86105627,0.4203967,0
1058,0.87055176,0.86224276,0.43359786,0
1490,0.8627732,0.85528064,0.4088453,0
827,0.84707737,0.83932596,0.45857802,0
1290,0.87673587,0.86910206,0.35404915,0
823,0.8822427,0.87438434,0.316538,0
554,0.8597303,0.85242975,0.23705733,0
1331,0.85961854,0.8526281,0.50109214,0
947,0.8824261,0.8745555,0.34512538,0
1274,0.87662596,0.86890256,0.3811459,0
178,0.8558037,0.8482113,0.4571004,0
1060,0.85955226,0.8522879,0.39610022,0
1181,0.84665406,0.8396823,0.6747391,0
1801,0.85237354,0.8454747,0.64865553,1
338,0.88286304,0.874953,0.31039077,0
1053,0.8659643,0.8585554,0.4847575,0
631,0.8611811,0.8536694,0.38007504,0
585,0.8611112,0.8535648,0.28099808,0
842,0.8673156,0.8592334,0.20521072,0
1023,0.8858379,0.87785476,0.3156786,0
1170,0.8557395,0.8484185,0.36363608,0
1221,0.8818087,0.8738057,0.39822984,0
410,0.85523826,0.84766054,0.6995436,1
401,0.87018657,0.8625722,0.46130937,0
472,0.8690162,0.86135703,0.40199327,0
1130,0.86919916,0.86046124,0.8144736,1
347,0.85192484,0.8440208,0.6134759,0
263,0.86593586,0.85829604,0.24581735,0
437,0.8603099,0.8525487,0.39283347,0
64,0.8723573,0.86439466,0.5352646,0
560,0.87708044,0.8689936,0.30503184,0
1223,0.88118786,0.87325007,0.28117555,0
449,0.8787983,0.8709327,0.3508738,0
639,0.86481655,0.85749847,0.41603133,0
1044,0.85587543,0.84821767,0.6549652,1
36,0.8774378,0.8698134,0.3132458,0
1136,0.8493963,0.8415753,0.36063793,0
1287,0.8745547,0.8670023,0.45924613,0
593,0.8692948,0.8608009,0.51790947,0
1174,0.8575077,0.8503225,0.41006216,0
1739,0.8578251,0.85034627,0.37831753,0
535,0.85400224,0.8466891,0.7330118,1
1608,0.85735077,0.8506013,0.4797417,0
576,0.8632587,0.8558272,0.2950773,0
96,0.8410139,0.8341134,0.7019642,0
496,0.88119286,0.87307894,0.3285967,0
889,0.86176574,0.8548352,0.594684,1
1496,0.87450236,0.86621624,0.48647717,0
381,0.84864205,0.83993644,0.50734144,0
957,0.86980164,0.8618571,0.6175207,1
669,0.86787105,0.86015534,0.42437202,0
1718,0.8714457,0.8626935,0.37476945,0
739,0.8527649,0.8450343,0.4254304,0
924,0.86520493,0.8576737,0.33967212,0
864,0.8584431,0.8518181,0.50213873,0
667,0.8559536,0.8480034,0.4276709,0
670,0.8707174,0.86185217,0.48438138,0
469,0.87730867,0.8698046,0.4880079,0
635,0.8737765,0.86548716,0.47701457,0
1132,0.8705809,0.8630826,0.39906573,0
1403,0.8468722,0.8401303,0.3840809,0
1347,0.87513024,0.8666997,0.3446532,0
344,0.8728788,0.86446095,0.9414101,1
342,0.8561092,0.8483429,0.3399368,0
1472,0.8787944,0.87117225,0.4492869,0
841,0.8580891,0.85117096,0.37358543,0
278,0.87495786,0.8674177,0.41113913,0
771,0.8769738,0.8690919,0.33079058,0
11,0.82788813,0.8202319,0.67695355,0
686,0.8714061,0.8632908,0.33763674,0
954,0.8550865,0.84755474,0.32390392,0
1349,0.8843748,0.8763035,0.36515746,0
668,0.85990024,0.8519444,0.3386998,0
132,0.87884647,0.87130815,0.3564295,0
1088,0.8709887,0.86378926,0.65520173,1
646,0.8729788,0.8649102,0.31317616,0
291,0.8644555,0.85682595,0.33999905,0
832,0.8591436,0.851905,0.3820493,0
371,0.8862988,0.877792,0.47744927,0
921,0.88197285,0.87442935,0.43458283,0
936,0.8585226,0.850582,0.22673643,0
849,0.8671803,0.859285,0.36214545,0
100,0.85770255,0.8499812,0.3297838,0
934,0.8764693,0.868833,0.3475242,0
1201,0.8865538,0.8779416,0.51176363,0
313,0.87043315,0.8630419,0.28104365,0
1704,0.86159694,0.8546024,0.4719516,0
1436,0.8666263,0.8589957,0.42287257,0
944,0.8550347,0.8473787,0.35635027,0
865,0.8719324,0.8639513,0.39131278,0
301,0.8731517,0.86491275,0.4534524,0
681,0.8667649,0.8589165,0.38133195,0
1755,0.8606516,0.85324514,0.6536917,1
1134,0.86047125,0.8526833,0.3479276,0
1276,0.83875674,0.8321804,0.7334923,0
704,0.88095695,0.87306076,0.38170415,0
60,0.8612881,0.85363233,0.26395077,0
1642,0.8815874,0.8739878,0.36813685,0
1246,0.8720152,0.8640278,0.33883196,0
673,0.86469823,0.8572432,0.27767938,0
1540,0.8543084,0.84701425,0.4590939,0
44,0.8681792,0.860098,0.18512598,0
404,0.85931593,0.8520055,0.5559869,0
828,0.84689444,0.84011745,0.5046985,0
300,0.8547042,0.8472526,0.38602835,0
549,0.8444361,0.8376047,0.6358415,0
1568,0.8710412,0.86327577,0.5507928,0
1527,0.8440091,0.83715385,0.53589565,0
418,0.86609006,0.8584257,0.2787662,0
1721,0.867802,0.8600464,0.84400403,1
1647,0.85155094,0.8442213,0.5074049,0
1235,0.8651537,0.8573578,0.2630521,0
632,0.8437094,0.8368295,0.45361465,0
726,0.85858876,0.85104835,0.45802203,0
257,0.8632733,0.8551802,0.4395121,0
1509,0.86006033,0.85243773,0.42774385,0
1562,0.8556603,0.84794414,0.39839315,0
1626,0.85919607,0.85188353,0.5551606,0
1627,0.85487056,0.84708136,0.49307448,0
1098,0.8594702,0.85209155,0.33252567,0
772,0.86315596,0.8553731,0.30321306,0
1335,0.8589613,0.851131,0.41386795,0
1571,0.85672617,0.8491056,0.5162797,0
1651,0.8695032,0.8620064,0.29036945,0
444,0.85892874,0.8512116,0.63646376,1
1224,0.86235034,0.85490316,0.29160175,0
569,0.8654536,0.8574165,0.3820656,0
721,0.8650244,0.8579735,0.4341001,0
272,0.8541678,0.8453412,0.79526454,0
1521,0.8744154,0.8666101,0.42452142,0
361,0.8597748,0.8517576,0.38547614,0
69,0.86856943,0.86083144,0.22229087,0
586,0.86309195,0.85495716,0.437615,0
996,0.8628932,0.8556118,0.3849273,0
360,0.8462397,0.8398173,0.7383594,0
375,0.854906,0.84615266,0.78267616,0
1447,0.8608823,0.8537896,0.4511844,0
107,0.85844505,0.8508201,0.3827007,0
1698,0.876264,0.8684397,0.37716907,0
