,X,Y,Diff,Target
0,0.70438176,0.74737984,0.43110433,0
1,0.7091434,0.75213814,0.40513402,0
2,0.7284879,0.77744097,0.47675252,0
3,0.74726254,0.799075,0.37454727,0
4,0.6909666,0.7302301,0.3992245,0
5,0.69457436,0.73537105,0.40945384,0
6,0.6893949,0.7309148,0.4360502,0
7,0.7225151,0.7711954,0.17634259,0
8,0.7156265,0.76061547,0.34204412,0
9,0.69224316,0.7316057,0.4134064,0
10,0.73675156,0.7879175,0.33137414,0
11,0.6465075,0.67819726,0.6781168,0
12,0.71807706,0.76784337,0.54784554,1
13,0.7418513,0.7951096,0.3750443,0
14,0.70382804,0.750944,0.596275,0
15,0.71782833,0.762463,0.3961859,0
16,0.74861115,0.80097735,0.327297,0
17,0.6970408,0.7386612,0.6746606,1
18,0.74734795,0.7984,0.3257064,0
19,0.71852326,0.76771057,0.34294108,0
20,0.71403587,0.7611971,0.46584073,0
21,0.7376445,0.7889446,0.4667141,0
22,0.7012805,0.7425747,0.51257044,0
23,0.7133317,0.7581462,0.32932082,0
24,0.71526915,0.7615893,0.29443663,0
25,0.7356802,0.78650784,0.28464714,0
26,0.67496413,0.71529955,0.5551765,0
27,0.7043007,0.7477613,0.3855642,0
28,0.72407115,0.7750697,0.7530869,0
29,0.70024556,0.74482054,0.6978749,1
30,0.6950827,0.7407918,0.63532764,0
31,0.71288466,0.7603706,0.35732996,0
32,0.679787,0.71664286,0.39764035,0
33,0.7266263,0.77313036,0.33632866,0
34,0.7307662,0.7830861,0.594,0
35,0.72243446,0.77032125,0.5098233,0
36,0.74323976,0.795907,0.29535687,0
37,0.6775681,0.7141532,0.58462465,0
38,0.7184457,0.76323885,0.3240247,0
39,0.7158052,0.7638533,0.36723614,0
40,0.73367524,0.7845807,0.30830613,0
41,0.69702697,0.74006194,0.37558556,0
42,0.70146966,0.7444638,0.68851435,1
43,0.74236286,0.7954203,0.35332745,0
44,0.72551215,0.77371126,0.1879886,0
45,0.74899006,0.8012706,0.40830085,0
46,0.71240735,0.7603362,0.42152467,0
47,0.71236145,0.75716263,0.2743939,0
48,0.7452456,0.79655725,0.5734715,1
49,0.7739413,0.8305308,0.41631427,0
50,0.6830986,0.7216813,0.5277567,0
51,0.6875376,0.7274797,0.53081256,0
52,0.76209205,0.81514996,0.51258534,0
53,0.69161963,0.73195,0.37359256,0
54,0.7472351,0.80001014,0.24636807,0
55,0.76679176,0.8200135,0.51224536,0
56,0.6939087,0.7362688,0.40466002,0
57,0.71478635,0.7637834,0.5673041,1
58,0.6840312,0.7235215,0.38037103,0
59,0.7132981,0.7575203,0.31669423,0
60,0.7057369,0.75112605,0.2662406,0
61,0.68907595,0.7297352,0.36041,0
62,0.6941699,0.7366112,0.32598606,0
63,0.7077632,0.75158215,0.32503635,0
64,0.7352418,0.7883101,0.52579254,0
65,0.70620656,0.7511398,0.38594538,0
66,0.7577547,0.81459624,0.82269,1
67,0.7211198,0.76843554,0.4515551,0
68,0.6993021,0.7396537,0.68677586,0
69,0.7244212,0.7724959,0.22374798,0
70,0.70441437,0.7497393,0.43718314,0
71,0.70089495,0.7438556,0.395214,0
72,0.75912744,0.81378686,0.26887596,0
73,0.7054072,0.7527456,0.6022069,1
74,0.76442486,0.81837994,0.33581573,0
75,0.7083007,0.754556,0.32611352,0
76,0.746077,0.7963985,0.29473713,0
77,0.6792764,0.7186803,0.37632337,0
78,0.75316316,0.80530703,0.3447679,0
79,0.7595824,0.8127791,0.3652516,0
80,0.6768626,0.71638674,0.57767963,0
81,0.7198643,0.7687538,0.3569714,0
82,0.6814258,0.72097814,0.54177403,0
83,0.70332134,0.7486393,0.39510208,0
84,0.74779904,0.79889536,0.33001816,0
85,0.7769802,0.83098733,0.4380848,0
86,0.69755894,0.7427904,0.6307062,0
87,0.73250633,0.7813718,0.27178535,0
88,0.71031713,0.75377905,0.40370756,0
89,0.72168225,0.7701996,0.36511886,0
90,0.7697009,0.8247289,0.43708488,0
91,0.7281056,0.77758783,0.49790093,0
92,0.6910905,0.7334632,0.4454737,0
93,0.7130507,0.75809264,0.46142566,0
94,0.72325015,0.770077,0.31477192,0
95,0.7429805,0.7957513,0.36239082,0
96,0.6604975,0.69495034,0.70521784,0
97,0.711522,0.75884795,0.52893054,0
98,0.7208441,0.76573354,0.35018528,0
99,0.7217205,0.76961535,0.3389422,0
100,0.69723636,0.7393346,0.33077204,0
101,0.72876585,0.77505845,0.40193614,0
102,0.7168481,0.7632526,0.21142705,0
103,0.72264504,0.77228105,0.57387626,0
104,0.74044806,0.79222137,0.6521916,1
105,0.76332384,0.81679535,0.363272,0
106,0.72240657,0.7708656,0.27056906,0
107,0.7050805,0.74789494,0.38843653,0
108,0.7449798,0.79600286,0.31422514,0
109,0.69960606,0.7442988,0.39586163,0
110,0.70469403,0.75002867,0.3211264,0
111,0.73925614,0.7912978,0.36962903,0
112,0.72275877,0.77390987,0.7030404,0
113,0.75100374,0.8066716,0.346398,0
114,0.7261438,0.7760916,0.40778676,0
115,0.7566402,0.8093919,0.37181002,0
116,0.7008723,0.7436321,0.41914988,0
117,0.702486,0.7456166,0.39340445,0
