,X,Y,Diff,Target
2493,0.30276665,0.7243376,0.2069954,0
1117,0.3145162,0.70989466,0.5951981,1
1978,0.27917618,0.74627054,0.29897088,0
783,0.34709713,0.6830554,0.41695917,0
3055,0.3206347,0.7045445,0.37132224,0
3076,0.33290482,0.69440717,0.3311435,0
543,0.33838028,0.69146806,0.33041883,0
5072,0.2673686,0.7568641,0.422199,0
2338,0.33761576,0.6880533,0.37805864,0
790,0.34563434,0.6848208,0.39897865,0
1336,0.30161908,0.7183513,0.7833285,1
2374,0.28004974,0.74342453,0.344982,1
256,0.31436053,0.71398836,0.21333809,1
3084,0.3048774,0.7228084,0.18269627,1
3436,0.30517292,0.7213643,0.17704827,0
5458,0.34480137,0.6842222,0.39273,0
2623,0.26973388,0.75563836,0.42306682,0
1133,0.2897995,0.7333903,0.31824866,1
5624,0.27911907,0.74601007,0.31733626,0
1473,0.33402613,0.69436324,0.3673282,0
1811,0.34229156,0.6882185,0.3635224,0
1968,0.3366019,0.6927211,0.30981636,1
1267,0.2604807,0.76239157,0.52364796,1
1101,0.27727872,0.74262434,0.5883392,1
1217,0.30415598,0.7164644,0.7380968,1
4277,0.29980618,0.7255413,0.12231698,0
2648,0.26515096,0.7604579,0.49449074,1
5940,0.3075967,0.71821743,0.16448383,0
3233,0.27454883,0.7507826,0.35303816,0
2482,0.27591902,0.75058407,0.36450356,0
272,0.30988634,0.7098541,0.8309744,1
4690,0.31191257,0.7174761,0.26794603,0
5627,0.30603778,0.7212861,0.19311292,1
2786,0.3083681,0.719457,0.17675415,1
3434,0.33012518,0.70003724,0.26298735,0
2565,0.27044132,0.7520442,0.4455668,1
1764,0.29512426,0.73268926,0.26026258,0
373,0.3292912,0.70102453,0.2443747,0
2234,0.3468714,0.6814357,0.4055351,0
3119,0.323966,0.7036071,0.21886753,0
5101,0.2699909,0.7553385,0.41110846,0
2733,0.293589,0.73335814,0.20380047,0
660,0.30203867,0.717726,0.68243533,1
971,0.3031568,0.7261833,0.2501774,0
692,0.28786078,0.7391919,0.26399928,0
2628,0.30679208,0.71974874,0.2006347,1
2984,0.338495,0.6882572,0.35130414,0
4235,0.3205705,0.70327044,0.2221791,0
878,0.31570616,0.7111965,0.506533,1
1494,0.28075543,0.7447726,0.30553263,0
390,0.31550875,0.7130791,0.19835286,1
514,0.34947816,0.68001795,0.45401725,0
888,0.31168115,0.7079984,0.810026,1
4027,0.29587048,0.72983956,0.22532472,0
4314,0.3289963,0.6988476,0.24866958,0
856,0.26904365,0.7573612,0.45911774,1
1580,0.28562883,0.7343679,0.6417642,1
1634,0.28478312,0.7356096,0.6294184,1
3062,0.3283005,0.698636,0.23385294,0
2559,0.24547128,0.7774719,0.65313125,1
637,0.31995854,0.71156144,0.2848973,1
3455,0.3000019,0.7246067,0.15504858,0
4919,0.35606682,0.67495316,0.52606887,0
1981,0.28292727,0.74309325,0.27254552,0
1150,0.2653418,0.75917464,0.4471826,1
714,0.31475723,0.7043426,0.89250535,1
2538,0.28077015,0.7437508,0.28986755,0
6350,0.32863116,0.6975657,0.24006897,0
3928,0.30965814,0.71685714,0.17974958,0
3353,0.32924548,0.69785976,0.28500876,0
4932,0.26351053,0.75944996,0.49583152,1
5609,0.31274956,0.71359736,0.16579632,0
19,0.3448446,0.68544436,0.38938692,0
23,0.35044596,0.6785286,0.46311462,0
4675,0.31163353,0.70758826,0.8623764,1
6158,0.33458197,0.69465625,0.30386814,0
6394,0.28201452,0.7418375,0.2971638,0
3708,0.34297833,0.687283,0.36667272,0
5247,0.2821467,0.74456334,0.29325,0
