,X,Y,Diff,Target
0,0.70688504,0.7126687,0.22531399,0
1,0.619986,0.6244118,0.14143032,0
2,0.57597667,0.5793653,0.110445194,0
3,0.55672276,0.5596347,0.11415798,0
4,0.54914176,0.5521382,0.10615656,0
5,0.54713416,0.549981,0.09960057,0
6,0.57788384,0.5811696,0.079694815,0
7,0.5487546,0.5514836,0.09222943,0
8,0.4762224,0.47728008,0.12353208,1
9,0.46776593,0.4684942,0.13935181,1
10,0.4558813,0.45637316,0.15302251,1
11,0.4009007,0.40029654,0.1619135,1
12,0.38630682,0.38536108,0.18253878,1
13,0.3406512,0.3387212,0.20659195,1
14,0.31785613,0.31555587,0.22609758,1
15,0.31448287,0.31216764,0.21314245,1
16,0.3500931,0.3484668,0.1902894,1
17,0.40671423,0.4061752,0.17950608,1
18,0.59205484,0.5959005,0.10089193,0
19,0.65945655,0.66451234,0.099662796,0
20,0.6064279,0.610497,0.10410187,0
21,0.6230963,0.62758625,0.124539055,0
22,0.6527508,0.65794426,0.14087851,0
23,0.6953357,0.70085233,0.13756092,0
24,0.66124904,0.6663527,0.11752623,0
25,0.6665899,0.6718782,0.12447398,0
26,0.66708416,0.6723198,0.112620756,0
27,0.6715335,0.6767745,0.10981888,0
28,0.67696095,0.68221545,0.10481911,0
29,0.65583783,0.6608828,0.10618484,0
30,0.64342463,0.6482991,0.10493161,0
31,0.6348804,0.6395289,0.11483078,0
32,0.6235745,0.6281072,0.10856468,0
33,0.5870474,0.5908683,0.10550407,0
34,0.5904873,0.5942952,0.11806864,0
35,0.5936682,0.59770215,0.14027192,0
36,0.61056846,0.6149456,0.122093745,0
37,0.6317062,0.6362874,0.08318826,0
38,0.6199014,0.6242952,0.09368057,0
39,0.60582477,0.6100828,0.10701287,0
40,0.58867556,0.592624,0.107940465,0
41,0.53972566,0.5425633,0.110009834,0
42,0.5041747,0.506338,0.11566098,0
43,0.3943332,0.39392328,0.18661861,1
44,0.3051946,0.3029305,0.20823182,1
45,0.3823949,0.3815522,0.24497928,1
46,0.48643762,0.48788926,0.14899893,0
47,0.35759932,0.35624942,0.24192601,0
48,0.27560872,0.27264142,0.28043914,0
49,0.26423123,0.26096228,0.26554027,0
50,0.19058107,0.18657684,0.22818057,1
51,0.14205661,0.1379329,0.20176765,1
52,0.12021442,0.116130866,0.20480505,1
53,0.10591351,0.10202644,0.23384821,1
54,0.7386922,0.7448016,0.24026339,0
55,0.6872907,0.69285244,0.21178593,0
56,0.63554794,0.64032435,0.17780638,0
57,0.595543,0.59948957,0.14204642,0
58,0.56412286,0.5673703,0.081486575,0
59,0.572814,0.57609993,0.087757386,0
60,0.58557314,0.5892988,0.086897545,0
61,0.5875598,0.59132254,0.07345571,0
